	A1	A2	A3	B1	B2	B3	C1	C2	C3
gene_1690	1	0	0	1	0	0	1	0	0
gene_1691	233	269	237	953	920	900	253	239	263
gene_1692	0	0	6	4	1	5	0	0	0
gene_1693	72	62	98	90	163	183	62	65	106
gene_1694	6	2	1	5	3	15	3	2	7
gene_1695	8	4	5	0	2	3	5	1	6
gene_1696	17	24	117	210	1	1456	0	1	445
gene_1697	17	21	4	120	2	43	2	10	1
gene_1698	69	59	47	228	211	224	59	67	61
gene_1699	1	2	3	3	0	3	0	0	0
gene_1700	0	0	0	4	1	23	8	0	2
gene_1701	2	1	1	0	7	11	1	0	1
gene_1702	24	16	7	55	43	64	7	20	7
gene_1703	42	39	89	59	327	166	32	73	41
gene_1704	21	27	18	99	57	35	5	54	30
gene_1705	602	742	692	1594	2518	4015	835	804	562
gene_1706	3	0	2	1	0	1	2	0	1
gene_1707	17	13	9	36	57	38	14	19	11
gene_1708	25	73	52	106	206	189	68	54	48
gene_1709	62	46	23	202	121	207	34	31	38
gene_1710	79	160	225	420	816	597	177	240	270
gene_1711	36	38	69	151	248	105	36	31	32
gene_1712	157	78	70	356	368	527	108	90	53
gene_1713	109	127	129	661	613	546	146	65	92
gene_1714	7	2	1	18	2	8	1	0	0
gene_1715	47	74	67	268	245	428	72	47	53
gene_1716	8	1	0	13	7	13	6	4	0
gene_1717	10	0	6	74	75	108	5	3	3
gene_1718	8	26	10	174	314	70	4	55	33
gene_1719	24	10	44	56	37	189	27	1	48
gene_1720	1	3	3	20	2	12	1	2	1
gene_1721	1	1	0	5	1	0	0	0	0
gene_1722	18	50	36	311	238	36	59	116	81
gene_1723	533	463	424	2652	1357	1874	400	450	317
gene_1724	7	4	5	35	38	11	7	11	2
gene_1725	530	207	446	1298	1166	1258	640	634	373
gene_1726	70	66	67	287	267	249	65	62	59
gene_1727	3	4	2	10	12	11	2	4	2
gene_1728	292	242	269	820	1122	866	322	266	210
gene_1729	7	8	2	1	22	19	23	0	25
gene_1730	14	10	9	28	43	30	15	13	3
gene_1731	17	5	7	22	51	32	8	10	12
gene_1732	171	126	205	864	689	631	160	150	182
gene_1733	18	19	22	72	88	70	33	20	11
gene_1734	0	0	2	3	0	1	0	0	0
gene_1735	65	65	58	209	309	199	67	65	55
gene_1736	6364	6584	6367	23808	25719	23693	6567	5412	7337
gene_1737	11	16	26	65	57	90	28	27	30
gene_1738	128	117	135	429	466	464	116	119	113
gene_1739	12	7	7	62	37	95	22	35	19
gene_1740	5	7	3	28	46	35	6	23	4
gene_1741	0	0	2	0	10	0	0	0	0
gene_1742	0	0	1	0	2	3	1	1	1
gene_1743	1	0	0	4	2	7	0	0	1
gene_1744	7	7	6	59	18	17	2	20	16
gene_1745	5	9	3	36	26	20	5	14	1
gene_1746	52	40	51	156	432	182	99	23	80
gene_1747	3	3	3	19	27	42	4	0	1
gene_1748	68	80	81	304	293	340	61	72	68
gene_1749	89	85	77	352	376	279	91	66	84
gene_1750	67	59	32	128	198	102	69	53	46
gene_1751	85	77	142	509	391	423	88	93	109
gene_1752	3	0	0	1	8	3	0	0	0
gene_1753	1	0	0	1	0	2	1	0	0
gene_1754	19	28	39	36	184	238	9	10	38
gene_1755	1	2	9	31	20	37	3	10	17
gene_1756	35	28	44	138	147	143	47	35	26
gene_1757	1	1	0	0	3	5	0	0	3
gene_1758	26	21	27	84	115	80	17	21	13
gene_1759	10	18	7	45	19	44	5	39	26
gene_1760	2	5	7	47	8	5	1	5	8
gene_1761	157	82	78	490	342	339	105	99	134
gene_1762	1	1	0	7	4	5	4	4	0
gene_1763	8	10	6	9	32	47	7	11	7
gene_1764	78	73	80	366	243	254	57	182	89
gene_1765	62	54	42	151	238	180	81	35	54
gene_1766	116	85	104	277	402	348	113	80	83
gene_1767	58	64	56	213	194	184	55	62	57
gene_1768	6	9	2	4	0	0	1	0	0
gene_1769	23	58	26	169	153	191	41	40	50
gene_1770	24	21	22	90	50	121	25	28	16
gene_1771	15	13	16	119	105	61	21	12	34
gene_1772	2	0	1	1	2	6	1	1	2
gene_1773	6	2	6	11	17	23	4	5	6
gene_1774	2	0	4	11	3	11	0	1	3
gene_1775	2	0	0	4	1	0	0	0	1
gene_1776	31	0	0	25	7	66	6	0	3
gene_1777	64	18	29	228	348	277	76	33	28
gene_1778	1	4	12	28	38	48	0	0	5
gene_1779	18	13	19	85	79	103	21	21	23
gene_1780	0	3	2	1	1	3	0	3	1
gene_1781	15	9	20	89	116	84	25	16	20
gene_1782	7	3	6	28	15	38	4	4	2
gene_1783	6	0	0	0	0	12	1	1	9
gene_1784	124	51	62	773	469	347	58	87	85
gene_1785	137	143	192	444	801	881	173	160	134
gene_1786	1	0	2	14	0	0	0	0	1
gene_1787	42	16	204	141	178	289	7	0	93
gene_1788	26	32	33	93	146	204	49	28	43
gene_1789	4	4	0	6	16	2	1	6	5
gene_1790	6	12	3	44	21	89	13	2	7
gene_1791	0	5	0	1	2	0	0	0	2
gene_1792	505	495	504	2186	2216	2110	529	471	529
gene_1793	34	12	11	17	85	31	31	32	9
gene_1794	10	3	5	13	20	25	9	7	7
gene_1795	36	28	31	149	92	83	32	26	21
gene_1796	0	0	1	3	1	0	0	0	1
gene_1797	11	0	22	1	29	6	1	6	7
gene_1798	12	15	24	24	229	123	29	23	1
gene_1799	0	1	0	0	0	4	0	0	0
gene_1800	41	44	51	188	136	81	27	31	28
gene_1801	17	15	19	63	120	85	22	20	21
gene_1802	3	1	2	8	8	2	4	2	4
gene_1803	3	0	0	2	14	6	2	1	0
gene_1804	167	331	223	1115	1148	1177	323	258	334
gene_1805	2	0	0	2	18	6	0	2	0
gene_1806	153	146	163	564	498	458	188	152	156
gene_1807	60	53	67	264	234	201	66	47	77
gene_1808	27	18	27	100	113	109	20	28	18
gene_1809	4130	4356	3927	13555	14392	17925	3578	3743	4271
gene_1810	17	6	22	98	19	64	23	11	16
gene_1811	15	42	59	154	189	192	39	42	21
gene_1812	95	96	83	377	353	328	116	79	67
gene_1813	11	6	1	125	0	0	0	1	32
gene_1814	5	13	17	64	123	17	3	13	10
gene_1815	1	1	0	0	6	1	5	0	0
gene_1816	0	2	46	2	0	18	0	2	7
gene_1817	2	5	3	153	48	131	18	20	7
gene_1818	6	4	25	151	29	119	3	5	2
gene_1819	262	467	328	3829	1632	2169	234	1059	804
gene_1820	4088	2703	2099	20939	10332	12767	2734	3076	2855
gene_1821	48	25	77	94	120	355	41	34	50
gene_1822	145	133	132	515	375	441	82	132	185
gene_1823	9	1	23	9	9	11	8	12	2
gene_1824	0	0	0	0	14	0	1	9	3
gene_1825	0	0	0	12	10	3	2	0	4
gene_1826	6	5	5	34	53	133	4	7	13
gene_1827	139	65	131	454	238	320	39	183	127
gene_1828	55	69	86	409	322	305	68	78	75
gene_1829	14	11	7	48	50	55	10	14	15
gene_1830	50	54	66	120	217	178	38	27	47
gene_1831	397	689	253	987	512	2329	248	322	524
gene_1832	69	66	72	143	396	349	36	47	97
gene_1833	1	1	1	15	1	5	3	0	0
gene_1834	0	0	2	11	13	1	0	1	0
gene_1835	14	5	29	17	6	17	3	29	4
gene_1836	5	0	0	7	0	5	1	4	2
gene_1837	42	33	25	135	113	100	42	38	51
gene_1838	16	9	11	90	67	95	12	17	12
gene_1839	58	94	203	452	494	597	184	152	169
gene_1840	11	21	30	117	63	63	11	13	14
gene_1841	4	0	5	28	11	5	3	0	1
gene_1842	10	7	7	35	62	0	8	13	7
gene_1843	79	98	85	213	360	170	50	91	58
gene_1844	71	42	57	201	233	157	48	55	46
gene_1845	18	16	18	86	77	75	21	22	17
gene_1846	0	0	5	1	1	7	0	0	1
gene_1847	1	0	0	3	2	1	1	0	0
gene_1848	71	89	77	359	640	148	127	64	113
gene_1849	185	201	245	753	878	824	187	181	268
gene_1850	0	2	1	11	1	1	1	1	5
gene_1851	0	0	0	2	0	9	0	1	0
gene_1852	1	0	0	0	6	4	1	0	0
gene_1853	51	20	41	172	76	228	20	40	25
gene_1854	0	1	0	9	2	0	3	3	1
gene_1855	9	6	17	131	41	30	19	2	16
gene_1856	32	14	18	68	63	138	20	32	16
gene_1857	73	89	75	338	372	342	79	62	83
gene_1858	0	2	0	2	8	1	1	0	0
gene_1859	2	4	1	4	5	4	1	1	1
gene_1860	24	18	20	96	73	62	29	19	35
gene_1861	0	1	0	2	0	10	1	0	0
gene_1862	22	14	2	18	67	55	21	4	35
gene_1863	280	249	191	931	1239	1017	268	317	220
gene_1864	26	20	30	83	108	102	16	19	27
gene_1865	41	52	39	159	171	147	35	36	43
gene_1866	72	59	65	302	302	268	52	64	72
gene_1867	53	43	30	99	82	357	57	52	69
gene_1868	1	0	0	0	0	2	1	1	1
gene_1869	73	73	77	339	316	311	67	67	62
gene_1870	151	140	171	759	943	875	164	104	113
gene_1871	23	9	8	57	25	99	15	28	16
gene_1872	10	29	24	62	50	59	25	24	13
gene_1873	62	55	48	320	245	279	69	103	60
gene_1874	0	0	0	0	0	8	5	2	0
gene_1875	208	122	210	522	912	604	179	158	224
gene_1876	3	9	5	38	9	21	22	1	11
gene_1877	7	9	8	18	12	16	3	4	4
gene_1878	5	10	0	9	3	5	7	3	0
gene_1879	10	0	0	149	22	205	1	7	0
gene_1880	279	170	296	1131	1207	954	326	253	388
gene_1881	1	0	14	7	26	0	1	0	0
gene_1882	24	203	319	635	1696	820	181	113	107
gene_1883	1	2	2	10	11	9	3	0	3
gene_1884	9	23	3	5	85	11	41	0	35
gene_1885	132	107	171	487	208	520	136	125	105
gene_1886	266	252	272	827	1083	1035	266	236	224
gene_1887	83	103	72	317	429	260	101	102	74
gene_1888	11	5	2	77	35	15	7	6	10
gene_1889	1	0	0	2	3	3	1	1	0
gene_1890	1	0	1	10	0	18	0	0	2
gene_1891	6	0	48	676	1	0	0	20	7
gene_1892	3	1	3	23	14	4	3	15	13
gene_1893	48	46	29	178	125	196	48	55	42
gene_1894	1	12	0	20	22	15	19	4	6
gene_1895	35	33	39	122	124	131	40	34	33
gene_1896	1	0	0	1	0	0	1	0	1
gene_1897	89	99	125	503	565	514	132	100	128
gene_1898	34	37	53	175	111	106	43	37	32
gene_1899	0	6	0	8	0	2	2	0	1
gene_1900	18	15	14	30	73	26	14	34	2
gene_1901	117	40	59	166	607	290	145	64	92
gene_1902	11	13	26	82	0	0	29	6	1
gene_1903	115	62	90	239	223	316	57	55	120
gene_1904	4	0	5	21	12	14	1	11	5
gene_1905	19	33	31	310	103	246	50	26	34
gene_1906	17	19	14	62	61	69	12	14	14
gene_1907	2	10	3	13	29	2	10	0	12
gene_1908	87	127	88	373	311	394	77	81	86
gene_1909	26	16	32	72	179	140	14	18	90
gene_1910	384	264	300	913	1371	1303	418	270	236
gene_1911	46	40	45	141	102	128	30	47	24
gene_1912	14	18	30	103	29	122	99	48	33
gene_1913	96	71	57	288	95	410	132	70	87
gene_1914	108	71	82	432	395	303	78	75	57
gene_1915	71	48	55	240	253	236	56	102	63
gene_1916	32	24	12	95	69	71	24	29	30
gene_1917	25	26	22	101	98	88	31	40	25
gene_1918	233	217	179	769	613	844	151	215	206
gene_1919	0	2	0	14	4	3	0	3	2
gene_1920	87	69	80	275	302	310	73	79	76
gene_1921	68	87	74	316	288	258	94	71	56
gene_1922	0	0	3	1	2	1	0	3	2
gene_1923	3	8	1	1	51	4	19	15	26
gene_1924	76	98	110	296	441	509	112	137	38
gene_1925	0	18	15	31	50	55	7	39	13
gene_1926	0	7	0	0	0	0	2	2	0
gene_1927	14	4	3	1	0	1	1	14	0
gene_1928	22	13	6	42	102	146	7	6	23
gene_1929	23	14	30	75	8	39	16	9	6
gene_1930	0	0	0	3	1	9	0	0	0
gene_1931	10	3	8	17	19	17	14	11	16
gene_1932	4	83	81	220	88	141	21	18	38
gene_1933	0	1	4	0	1	0	0	0	0
gene_1934	4	3	0	14	11	17	3	6	5
gene_1935	0	12	8	10	8	1	0	2	0
gene_1936	0	1	3	5	0	1	1	16	14
gene_1937	5	21	2	15	73	30	9	2	3
gene_1938	11	1	11	8	57	52	8	4	18
gene_1939	1	0	0	1	2	0	0	1	1
gene_1940	79	80	73	287	313	321	79	79	81
gene_1941	0	2	7	9	4	2	0	4	5
gene_1942	0	1	1	5	0	11	0	1	5
gene_1943	12	11	11	40	54	28	13	10	17
gene_1944	12	27	20	49	31	30	27	11	12
gene_1945	53	38	45	192	135	258	58	20	29
gene_1946	6	0	1	1	30	4	2	5	63
gene_1947	2	12	16	24	50	170	9	49	31
gene_1948	295	259	287	994	461	712	205	315	245
gene_1949	327	278	291	1142	1342	1318	254	286	385
gene_1950	4	3	10	42	18	34	0	5	9
gene_1951	27	23	10	84	204	48	35	7	31
gene_1952	61	145	183	614	526	401	227	460	219
gene_1953	68	76	15	175	157	353	53	19	53
gene_1954	6	0	7	9	0	7	0	0	0
gene_1955	1	0	0	2	0	2	3	1	0
gene_1956	2	0	3	2	0	5	4	1	2
gene_1957	1	0	0	3	4	5	0	1	0
gene_1958	16	43	49	112	68	81	32	17	7
gene_1959	23	24	49	68	94	73	17	32	42
gene_1960	0	0	0	6	0	2	0	0	0
gene_1961	3	3	0	4	7	6	2	3	2
gene_1962	3	5	3	16	9	22	3	5	2
gene_1963	0	3	0	19	5	5	3	0	4
gene_1964	153	52	212	422	289	245	122	146	79
gene_1965	0	0	0	2	0	4	1	1	1
gene_1966	105	89	72	526	349	328	77	104	126
gene_1967	1	0	0	8	5	0	1	0	0
gene_1968	74	114	80	326	406	218	76	69	99
gene_1969	204	280	262	965	848	868	224	199	189
gene_1970	0	4	4	9	24	1	4	9	4
gene_1971	87	43	58	449	324	427	99	77	54
gene_1972	116	112	95	219	399	449	220	44	15
gene_1973	6	11	8	29	20	39	6	12	4
gene_1974	40	58	43	59	91	120	73	64	74
gene_1975	2	2	1	20	3	3	0	2	1
gene_1976	0	1	3	0	6	8	4	1	0
gene_1977	250	260	300	1010	1093	1109	318	293	229
gene_1978	14	0	2	44	10	29	2	1	1
gene_1979	13	14	16	53	43	73	21	19	7
gene_1980	9	9	15	21	21	29	3	16	12
gene_1981	2	10	2	15	1	13	6	0	3
gene_1982	0	0	0	10	0	25	0	6	0
gene_1983	9	14	13	54	76	38	10	16	13
gene_1984	1	1	0	0	4	4	0	0	1
gene_1985	27	24	13	91	114	78	24	14	12
gene_1986	0	0	3	5	26	0	0	2	0
gene_1987	0	5	8	16	19	16	5	12	4
gene_1988	30	67	33	17	86	104	20	6	19
gene_1989	0	12	3	16	50	6	29	0	25
gene_1990	180	142	110	903	390	759	112	109	110
gene_1991	1	0	0	0	0	0	1	1	6
gene_1992	100	83	66	465	297	499	103	71	47
gene_1993	30	30	33	107	201	103	41	29	33
gene_1994	3	10	3	7	17	49	21	4	9
gene_1995	103	114	88	459	371	443	110	92	102
gene_1996	65	36	50	207	322	249	52	45	57
gene_1997	1	11	2	22	2	0	15	7	5
gene_1998	15	38	25	92	224	161	8	35	21
gene_1999	160	139	53	367	330	261	78	112	105
gene_2000	4	1	1	28	56	165	7	3	6
gene_2001	11	0	4	1	21	0	0	5	0
gene_2002	53	65	158	52	105	85	534	343	342
gene_2003	1	1	3	3	1	3	28	9	0
gene_2004	128	227	280	301	143	152	959	1221	1549
gene_2005	0	2	3	6	3	1	9	19	15
gene_2006	384	458	571	457	381	627	1815	2063	2039
gene_2007	3	4	3	9	0	10	34	11	15
gene_2008	0	0	0	0	0	0	2	4	0
gene_2009	33	20	28	26	27	28	133	146	89
gene_2010	233	336	317	288	349	367	1106	1596	2122
gene_2011	34	14	26	37	18	21	109	141	190
gene_2012	334	206	153	240	181	284	998	655	332
gene_2013	269	250	288	238	279	220	987	1047	882
gene_2014	4	7	0	1	2	5	16	18	30
gene_2015	0	8	11	19	56	24	145	67	19
gene_2016	10	1	17	8	11	3	45	141	127
gene_2017	0	1	0	0	1	0	5	3	0
gene_2018	330	395	511	354	411	299	2009	1063	1691
gene_2019	0	2	2	0	3	14	1	31	0
gene_2020	80	71	96	63	69	58	336	243	356
gene_2021	26	20	19	24	8	17	34	90	96
gene_2022	31	14	11	6	18	8	53	12	54
gene_2023	35	54	34	56	33	30	211	133	100
gene_2024	12	2	1	19	15	13	19	37	25
gene_2025	3	0	0	1	3	0	0	0	0
gene_2026	164	298	270	538	251	646	675	823	1033
gene_2027	0	24	1	0	0	1	61	139	13
gene_2028	8	9	0	1	1	10	136	0	20
gene_2029	33	31	6	11	15	6	101	32	92
gene_2030	14	6	39	20	50	3	5	35	137
gene_2031	0	1	6	1	4	23	31	10	9
gene_2032	158	195	324	297	364	195	620	1433	1838
gene_2033	1	1	0	1	0	4	61	0	0
gene_2034	3	0	6	0	6	0	16	0	6
gene_2035	50	29	103	83	44	53	192	174	188
gene_2036	63	50	94	104	106	106	243	432	222
gene_2037	0	0	6	1	0	0	0	1	33
gene_2038	0	0	1	0	1	0	3	0	2
gene_2039	3	9	1	8	7	48	2	85	107
gene_2040	20	6	13	0	0	0	0	1	12
gene_2041	171	117	144	119	96	141	551	415	403
gene_2042	45	29	22	29	31	23	108	134	139
gene_2043	1	0	0	0	2	0	5	4	0
gene_2044	7	19	17	26	4	8	47	19	82
gene_2045	0	0	3	0	3	0	3	2	1
gene_2046	0	2	5	0	1	1	1	0	1
gene_2047	114	80	72	69	74	65	282	286	337
gene_2048	72	77	111	62	69	99	228	322	359
gene_2049	19	9	4	8	7	13	63	125	46
gene_2050	63	83	66	85	115	93	332	327	355
gene_2051	15	29	21	9	15	24	85	75	15
gene_2052	9	9	6	3	6	10	75	3	68
gene_2053	0	0	3	0	0	0	3	0	1
gene_2054	278	174	221	299	311	163	675	833	761
gene_2055	69	43	56	86	31	56	226	253	181
gene_2056	202	206	255	151	320	294	1391	753	851
gene_2057	0	3	0	1	0	0	1	4	2
gene_2058	31	18	19	18	22	29	77	21	1
gene_2059	87	84	56	69	90	111	293	211	271
gene_2060	98	103	65	98	78	104	356	330	350
gene_2061	117	107	137	104	121	181	200	455	663
gene_2062	1	11	0	0	0	5	20	183	186
gene_2063	23	36	20	21	33	18	107	55	82
gene_2064	88	51	52	48	67	45	221	191	255
gene_2065	24	17	12	21	29	18	77	111	102
gene_2066	24	43	19	49	30	35	108	145	158
gene_2067	196	75	139	299	307	180	1016	390	1392
gene_2068	0	1	0	2	0	0	9	2	6
gene_2069	2	1	0	1	0	3	46	16	10
gene_2070	48	87	46	54	60	87	125	306	255
gene_2071	36	83	17	32	10	23	91	147	245
gene_2072	0	4	0	0	0	0	1	1	1
gene_2073	97	188	296	173	117	138	550	683	1074
gene_2074	89	73	103	93	102	97	344	386	410
gene_2075	73	63	55	66	68	72	194	187	247
gene_2076	83	43	88	98	140	103	387	347	376
gene_2077	5	5	4	6	9	12	39	22	44
gene_2078	20	15	16	7	3	21	68	54	57
gene_2079	142	185	190	124	152	109	561	291	480
gene_2080	14	14	16	11	10	6	64	25	26
gene_2081	0	0	0	1	0	0	9	0	0
gene_2082	0	0	0	0	1	1	0	0	0
gene_2083	53	38	32	31	42	31	207	111	180
gene_2084	1	3	3	0	0	0	1	6	6
gene_2085	18	6	2	3	4	6	3	29	35
gene_2086	3	4	3	2	5	2	3	9	10
gene_2087	0	0	4	0	0	0	0	4	0
gene_2088	2	7	1	5	1	5	20	10	14
gene_2089	227	137	115	112	115	290	310	525	539
gene_2090	2	0	2	1	2	5	20	8	28
gene_2091	22	14	23	26	10	18	34	62	53
gene_2092	33	15	81	31	44	23	180	71	76
gene_2093	80	51	72	67	69	66	268	182	247
gene_2094	41	55	55	25	42	42	170	125	130
gene_2095	9	46	14	10	23	14	15	113	15
gene_2096	0	4	0	1	3	0	10	5	12
gene_2097	16	11	11	11	13	11	26	28	40
gene_2098	300	497	289	161	379	210	1057	1263	1014
gene_2099	5	12	12	19	10	14	38	4	64
gene_2100	0	1	1	2	1	0	5	3	7
gene_2101	6	9	15	25	6	12	25	34	56
gene_2102	5	2	0	13	1	19	17	9	9
gene_2103	1	20	19	13	1	4	9	34	27
gene_2104	34	24	29	46	64	28	248	212	98
gene_2105	24	26	32	29	37	18	97	114	97
gene_2106	0	1	1	1	2	0	17	9	12
gene_2107	95	276	214	268	254	372	1138	733	845
gene_2108	17	28	21	16	21	27	92	109	114
gene_2109	415	309	403	191	493	295	786	1225	1814
gene_2110	0	7	0	8	4	20	1	0	0
gene_2111	12	0	1	1	8	3	7	34	55
gene_2112	85	61	101	76	61	79	277	336	269
gene_2113	17	30	0	1	15	85	94	23	11
gene_2114	1	2	1	1	0	2	6	4	1
gene_2115	9	16	55	4	42	83	231	469	114
gene_2116	1	1	0	4	0	3	8	35	3
gene_2117	123	73	95	74	51	162	311	469	419
gene_2118	6	0	7	2	8	4	50	23	6
gene_2119	87	66	62	52	50	43	124	335	347
gene_2120	7	7	16	20	29	39	62	190	42
gene_2121	137	77	52	209	99	81	833	396	174
gene_2122	21	25	27	28	29	26	91	104	95
gene_2123	89	48	9	75	57	41	100	300	129
gene_2124	58	44	52	77	43	60	248	245	253
gene_2125	0	0	1	0	0	4	1	1	4
gene_2126	93	85	55	113	56	62	208	477	224
gene_2127	28	40	15	21	10	3	14	13	3
gene_2128	0	0	12	0	1	1	40	39	8
gene_2129	226	177	216	236	212	250	638	760	869
gene_2130	68	60	53	55	64	41	281	269	208
gene_2131	106	69	60	55	102	73	71	236	298
gene_2132	55	44	63	39	61	42	210	186	200
gene_2133	2	6	2	0	1	0	50	10	3
gene_2134	59	150	138	139	205	53	615	428	416
gene_2135	58	80	67	78	69	63	245	306	342
gene_2136	17	26	14	16	35	23	74	42	61
gene_2137	21	25	8	18	9	11	60	37	44
gene_2138	168	99	184	175	166	96	861	545	997
gene_2139	87	71	55	73	61	70	273	342	365
gene_2140	163	105	117	104	136	93	518	382	540
gene_2141	13	33	0	46	99	56	153	221	291
gene_2142	672	880	861	790	866	1228	3277	2403	2268
gene_2143	201	221	264	192	122	97	850	985	808
gene_2144	10	69	52	25	21	14	75	19	176
gene_2145	58	66	144	118	187	185	537	438	433
gene_2146	95	78	81	98	108	100	397	403	317
gene_2147	99	90	69	68	52	87	255	342	304
gene_2148	31	20	12	9	15	22	86	110	66
gene_2149	125	103	197	73	87	133	362	551	635
gene_2150	0	7	4	3	1	3	22	22	11
gene_2151	2	1	3	1	4	2	31	0	12
gene_2152	25	17	20	10	19	19	112	48	67
gene_2153	9	16	7	24	6	18	20	66	106
gene_2154	1	1	0	1	0	0	4	1	0
gene_2155	0	0	4	1	0	15	1	40	40
gene_2156	13	12	17	8	18	12	72	59	87
gene_2157	243	280	251	242	208	223	545	995	994
gene_2158	26	65	24	7	9	14	97	41	53
gene_2159	254	169	522	284	429	289	2782	1290	2305
gene_2160	19	18	38	40	20	28	161	89	65
gene_2161	0	0	3	3	4	0	0	3	3
gene_2162	56	6	2	45	33	1	13	69	39
gene_2163	601	254	298	767	254	282	1238	2213	884
gene_2164	808	540	399	629	512	344	2994	1913	2627
gene_2165	1	0	40	36	0	17	55	33	7
gene_2166	45	22	39	13	2	0	80	70	64
gene_2167	14	21	15	17	11	16	56	78	93
gene_2168	25	22	17	22	24	18	112	106	86
gene_2169	0	3	0	0	2	1	5	2	2
gene_2170	16	31	28	24	30	18	76	45	91
gene_2171	12	9	4	7	2	14	26	57	53
gene_2172	23	36	10	24	23	5	105	98	69
gene_2173	8	6	2	8	0	12	40	11	20
gene_2174	258	237	361	199	302	214	1447	1092	899
gene_2175	1	2	0	0	5	0	1	16	4
gene_2176	41	8	40	39	49	51	192	43	253
gene_2177	1	0	0	0	3	3	0	6	2
gene_2178	0	0	0	2	0	0	0	0	8
gene_2179	8	6	2	3	2	0	13	21	4
gene_2180	0	0	5	30	4	8	0	11	5
gene_2181	33	18	19	30	9	13	46	99	69
gene_2182	1	0	3	2	1	3	11	12	1
gene_2183	22	42	25	53	24	30	68	147	103
gene_2184	8	9	3	16	10	5	24	57	22
gene_2185	20	11	21	26	12	19	77	76	89
gene_2186	211	194	185	117	142	154	735	413	671
gene_2187	9	0	5	0	0	2	0	4	35
gene_2188	61	44	56	75	71	70	249	232	241
gene_2189	4	4	2	4	0	1	5	4	21
gene_2190	97	116	100	104	92	97	460	439	454
gene_2191	0	9	11	19	0	44	0	10	9
gene_2192	40	34	41	36	36	52	190	220	139
gene_2193	0	0	1	3	1	0	0	0	1
gene_2194	0	1	0	0	0	1	2	1	1
gene_2195	0	3	2	3	0	1	4	1	0
gene_2196	10	14	7	8	8	13	49	33	56
gene_2197	46	30	44	9	57	25	207	193	182
gene_2198	28	17	28	24	18	17	161	82	79
gene_2199	61	42	53	63	103	47	472	334	208
gene_2200	1	1	11	0	2	0	16	0	9
gene_2201	59	56	69	69	58	85	289	278	207
gene_2202	1	10	6	46	11	4	20	36	12
gene_2203	82	92	93	69	100	138	333	288	280
gene_2204	19	23	23	15	21	18	80	77	85
gene_2205	11	2	12	16	5	13	36	35	28
gene_2206	37	9	1	7	6	19	9	57	57
gene_2207	38	62	73	77	36	50	177	244	220
gene_2208	1	6	11	10	3	3	20	75	6
gene_2209	76	100	93	148	107	76	472	547	728
gene_2210	34	44	35	42	23	32	124	198	180
gene_2211	1	1	3	1	17	62	121	30	11
gene_2212	78	98	148	132	76	51	279	269	397
gene_2213	0	0	3	0	0	0	1	20	6
gene_2214	128	109	121	98	122	109	385	451	454
gene_2215	15	1	8	6	30	29	82	79	88
gene_2216	43	46	17	113	16	18	265	268	175
gene_2217	1	15	5	0	1	0	1	7	20
gene_2218	0	0	19	0	0	21	0	19	33
gene_2219	144	260	182	544	178	96	1279	516	762
gene_2220	32	41	52	37	32	22	100	196	127
gene_2221	107	71	76	95	56	60	296	348	305
gene_2222	0	0	1	0	0	3	3	0	7
gene_2223	42	51	32	44	44	33	88	96	101
gene_2224	24	23	8	17	17	25	57	84	34
gene_2225	1	2	0	0	7	0	0	4	0
gene_2226	78	25	96	102	64	47	45	160	454
gene_2227	45	39	61	37	37	38	184	137	166
gene_2228	875	398	428	259	392	266	3479	2156	1583
gene_2229	4255	3403	4227	3991	3943	3711	15981	16326	20694
gene_2230	47	55	28	17	44	37	146	118	142
gene_2231	1	0	6	8	0	0	17	2	1
gene_2232	13	16	6	10	8	12	33	71	59
gene_2233	62	75	83	102	84	80	379	490	352
gene_2234	1	0	0	0	1	0	3	1	0
gene_2235	47	55	60	66	41	44	233	187	148
gene_2236	88	122	108	166	103	72	532	447	354
gene_2237	22	22	9	8	9	10	10	92	25
gene_2238	181	187	164	149	166	152	756	744	635
gene_2239	1	6	0	0	0	0	0	2	0
gene_2240	177	50	21	136	108	79	429	88	24
gene_2241	1	0	2	1	4	2	5	10	4
gene_2242	3698	4125	3932	3403	3572	3813	15653	12847	15219
gene_2243	21	20	22	21	18	23	68	81	110
gene_2244	19	5	1	5	6	7	32	75	24
gene_2245	3	2	2	4	7	4	15	32	21
gene_2246	20	15	34	13	19	15	85	90	76
gene_2247	113	58	87	96	89	52	307	315	428
gene_2248	52	46	42	45	41	46	190	168	223
gene_2249	2	3	8	2	0	2	25	11	18
gene_2250	6	2	3	3	4	5	20	10	10
gene_2251	8	3	3	0	0	1	44	3	14
gene_2252	201	205	265	151	237	100	722	411	381
gene_2253	110	141	124	154	113	132	463	527	474
gene_2254	42	28	10	5	11	0	53	39	78
gene_2255	150	146	49	139	146	168	316	521	272
gene_2256	10	16	23	41	24	10	115	66	111
gene_2257	0	1	2	0	2	0	1	18	8
gene_2258	0	1	0	0	0	0	4	4	1
gene_2259	220	187	167	199	205	172	871	822	919
gene_2260	73	240	79	120	160	173	449	582	505
gene_2261	3	9	4	4	7	5	31	8	13
gene_2262	159	343	119	480	317	229	1374	882	1020
gene_2263	74	54	44	56	31	34	133	248	199
gene_2264	388	436	422	236	227	396	1323	1067	1124
gene_2265	29	80	153	63	118	77	782	395	284
